h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
58,2,0,727.3151,677.2880448,662.5500172,14.7380276,13277.50234,25000,7094.633901
58,3,0,1395.6242,1167.507884,1142.102499,25.40538483,22887.73408,25000,31389.1666
59,1,557.6972527,1845.4695,1061.459517,1583.923345,35.23342445,31741.82383,25000,17048.53417
59,2,134.6090823,939.247,778.7472163,893.4813423,19.87495637,17905.3661,25000,0
59,3,435.3800527,1363.226,1183.776717,1583.923345,35.23342445,31741.82383,25000,38130.99043
60,1,526.6348666,1810.9448,1092.521903,1583.923345,35.23342445,31741.82383,25000,23790.358
60,2,409.5246152,1149.1913,865.7303749,1247.50499,27.75,25000,25000,0
60,3,325.4141017,1477.4058,1177.309784,1470.024082,32.69980369,29459.2826,25000,42590.27303
61,1,569.836899,1528.5798,1049.31987,1583.923345,35.23342445,31741.82383,25000,30532.18184
61,2,458.1780616,1490.4586,1055.773158,1481.007105,32.94411445,29679.38239,25000,4679.382386
61,3,0,925.2012,1120.376117,1095.996336,24.3797809,21963.76658,25000,39554.03961
62,1,644.5381514,1020.4937,974.6186179,1583.923345,35.23342445,31741.82383,25000,37274.00567
62,2,0,1522.6076,1137.471442,1112.719661,24.75178123,22298.90201,25000,1978.284391
62,3,0,1183.9602,1156.089252,1130.93234,25.15691135,22663.8841,25000,37217.92371
63,1,608.1673207,708.8345,913.9773399,1489.022254,33.12240663,29840.00597,25000,42114.01164
63,2,0,1364.9982,1174.342308,1148.788204,25.55410433,23021.71561,25000,0
63,3,0,1058.2094,1151.253551,1126.201866,25.05168479,22569.08539,25000,34787.0091
64,1,605.2585368,676.0359,1013.898232,1583.923345,35.23342445,31741.82383,25000,48855.83547
64,2,439.2587619,1020.344,1179.898007,1583.923345,35.23342445,31741.82383,25000,6741.823831
64,3,461.7599761,462.0968,1112.933444,1540.427534,34.26588624,30870.16779,25000,40657.17689
65,1,619.5386,619.5386,968.3490435,1553.334646,34.55299721,31128.82631,25000,54984.66178
65,2,443.6183844,1243.7835,1175.538385,1583.923345,35.23342445,31741.82383,25000,13483.64766
65,3,452.2815744,452.6124,1088.389445,1507.145473,33.52554676,30203.19528,25000,45860.37217
66,1,328.7247,328.7247,843.8555926,1147.06453,25.51576224,22987.17319,25000,52971.83497
66,2,450.8876431,1224.2468,1168.269126,1583.923345,35.23342445,31741.82383,25000,20225.47149
66,3,457.7371312,603.3137,1161.419638,1583.923345,35.23342445,31741.82383,25000,52602.196
67,1,0,0,657.2947705,642.9918037,14.30296688,12885.55575,25000,40857.39071
67,2,543.4185101,842.3806,1075.738259,1583.923345,35.23342445,31741.82383,25000,26967.29532
67,3,510.4385321,808.6622,1108.718237,1583.923345,35.23342445,31741.82383,25000,59344.01983
68,1,36.87678889,36.877,804.85106,823.411553,18.31629595,16501.16752,25000,32358.55823
68,2,47.85163915,539.2226,968.4948478,994.2304276,22.11605932,19924.37777,25000,21891.67309
68,3,450.5831464,1156.6461,1168.573623,1583.923345,35.23342445,31741.82383,25000,66085.84366
69,1,267.7671674,284.7424,820.4098005,1064.497852,23.67911602,21332.53695,25000,28691.09519
69,2,0,264.2349,734.8468417,718.8563143,15.9905274,14405.88054,25000,11297.55363
69,3,438.6594357,1384.7965,1180.497334,1583.923345,35.23342445,31741.82383,25000,72827.66749
70,1,178.3974693,376.122,732.0404574,890.6264752,19.81145156,17848.15456,25000,21539.24975
70,2,0,398.948,698.9645242,683.7548087,15.20971547,13702.44637,25000,0
70,3,0,1187.1601,1162.411186,1137.116707,25.29447887,22787.81881,25000,70615.4863
71,1,483.3403074,697.4215,845.9772275,1300.391115,28.92642011,26059.83794,25000,22599.08769
71,2,651.8575145,999.7646,967.2992548,1583.923345,35.23342445,31741.82383,25000,6741.823831
71,3,0,1149.1188,1149.571085,1124.556011,25.01507373,22536.10246,25000,68151.58876
72,1,613.7734941,1288.6453,1005.383275,1583.923345,35.23342445,31741.82383,25000,29340.91152
72,2,26.27056274,1050.8391,905.082648,911.0866352,20.26657555,18258.17617,25000,0
72,3,0,1020.2027,1146.678848,1121.726711,24.95213764,22479.40328,25000,65630.99204
73,1,550.0406902,792.5907,889.2955329,1408.015757,31.32046571,28216.63578,25000,32557.5473
73,2,659.7309341,1400.8677,959.4258352,1583.923345,35.23342445,31741.82383,25000,6741.823831
73,3,467.9539682,795.488,1151.202801,1583.923345,35.23342445,31741.82383,25000,72372.81587
74,1,234.2622952,234.2674,834.4641834,1045.470612,23.25586649,20951.23107,25000,28508.77837
74,2,355.5581721,1904.1472,1131.004508,1454.21455,32.34813014,29142.45959,25000,10884.28342
74,3,497.5771638,593.8784,1121.579606,1583.923345,35.23342445,31741.82383,25000,79114.6397
75,1,0,0,668.0705772,653.5331249,14.53745224,13096.80382,25000,16605.58219
75,2,445.1843682,1958.9736,1173.972401,1583.923345,35.23342445,31741.82383,25000,17626.10725
75,3,488.2247603,618.8516,1130.932009,1583.923345,35.23342445,31741.82383,25000,85856.46353
76,1,0,0,531.6136851,520.0455831,11.56810197,10421.71349,25000,2027.295676
76,2,25.79014701,25.7903,776.2443817,784.5819734,17.45255525,15723.02275,25000,8349.129999
76,3,0,951.9961,1176.29721,1150.700567,25.59664369,23060.03936,25000,83916.50289
77,1,0,0,577.7773853,565.2047448,12.57264043,11326.70309,13353.99876,0
77,2,206.4726903,209.1425,811.9367398,996.2484803,22.1609497,19964.81955,25000,3313.949545
77,3,445.1542811,1046.1801,1174.002488,1583.923345,35.23342445,31741.82383,25000,90658.32672
78,1,0,18.308,467.8136151,457.6338252,10.17978986,9170.981858,0,9170.981858
78,2,0,1162.5992,1106.209762,1082.138246,24.07151601,21686.05046,25000,0
78,3,0,1087.1647,1182.101984,1156.379027,25.72295762,23173.8357,25000,88832.16242
79,1,0,0,653.15305,638.9402084,14.21284157,12804.36178,21975.34363,0
79,2,463.7671324,464.1106,1108.283241,1537.842001,34.20837261,30818.3537,25000,5818.353703
79,3,490.2112394,1072.1449,1128.94553,1583.923345,35.23342445,31741.82383,25000,95573.98625
80,1,0,3.2027,685.5171206,670.6000254,14.91709521,13438.82451,6806.632366,6632.192143
80,2,492.5167158,653.5352,1126.640054,1583.923345,35.23342445,31741.82383,25000,12560.17753
80,3,0,1228.7187,1092.884399,1069.102848,23.78155139,21424.82107,25000,91998.80732
81,1,175.821499,351.4625,761.124046,916.5572783,20.38826672,18367.80786,25000,0
81,2,0,1299.9587,1095.827869,1071.982267,23.84560233,21482.52462,25000,9042.702156
81,3,441.1969094,1420.0665,1177.95986,1583.923345,35.23342445,31741.82383,25000,98740.63115
82,1,321.8770567,745.8447,794.4573217,1092.042547,24.29183124,21884.53265,21884.53265,0
82,2,495.1648722,1116.7207,1123.991897,1583.923345,35.23342445,31741.82383,25000,15784.52599
82,3,0,1594.3027,1182.134408,1156.410744,25.72366316,23174.47132,25000,96915.10247
83,1,339.0425991,995.02,752.1786555,1067.475894,23.74536077,21392.21691,21392.21691,0
83,2,541.7462886,1246.8742,1077.410481,1583.923345,35.23342445,31741.82383,25000,22526.34982
83,3,437.6516955,1484.0918,1181.505074,1583.923345,35.23342445,31741.82383,25000,103656.9263
84,1,695.0557649,1327.8465,911.8210517,1571.910608,34.96620834,31501.08859,25000,6501.08859
84,2,494.9961907,1498.42,1124.160579,1583.923345,35.23342445,31741.82383,25000,29268.17365
84,3,91.30427476,1765.7158,1183.950715,1247.50499,27.75,25000,25000,103656.9263
85,1,633.527169,1083.7359,897.1672713,1497.385987,33.30845286,30007.61519,17711.73287,18796.97091
85,2,445.3776998,1892.4337,1173.77907,1583.923345,35.23342445,31741.82383,25000,36009.99748
85,3,163.8397811,1519.2249,1111.415209,1247.50499,27.75,25000,25000,103656.9263
86,1,167.7863141,370.0624,702.7380295,851.5814257,18.94291786,17065.69177,25000,10862.66268
86,2,454.6141046,1939.2189,1164.542665,1583.923345,35.23342445,31741.82383,25000,42751.82131
86,3,0,1553.5968,1054.606725,1031.65811,22.94861565,20674.42852,25000,99331.35482
87,1,56.01001416,219.7466,665.1383846,705.4559543,15.69244443,14137.33732,25000,0
87,2,506.2719999,1874.6128,1112.884769,1583.923345,35.23342445,31741.82383,25000,49493.64514
87,3,34.72518442,1531.6584,1117.276291,1126.933516,25.06795989,22583.74765,25000,96915.10247
88,1,203.5443751,476.742,708.8218446,892.5128078,19.8534119,17885.95667,17885.95667,0
88,2,539.5009057,1808.8806,1079.655864,1583.923345,35.23342445,31741.82383,25000,56235.46897
88,3,598.2599426,704.4542,1020.896827,1583.923345,35.23342445,31741.82383,25000,103656.9263
89,1,0,70.7637,581.6442139,568.9874299,12.65678399,11402.5081,0,11402.5081
89,2,579.5784203,1677.7716,1039.578349,1583.923345,35.23342445,31741.82383,25000,62977.29281
89,3,212.0458252,803.7536,1063.209165,1247.50499,27.75,25000,25000,103656.9263
90,1,0,0,560.3332859,548.1402353,12.19305065,10984.73031,22387.23841,0
90,2,655.1730991,1543.89,963.9836702,1583.923345,35.23342445,31741.82383,25000,69719.11664
90,3,355.1962505,622.0504,920.0587395,1247.50499,27.75,25000,25000,103656.9263
91,1,0,0,690.1853473,675.1666699,15.01867747,13530.34006,13530.34006,0
91,2,655.9108676,1197.8309,963.2459017,1583.923345,35.23342445,31741.82383,25000,76460.94047
91,3,398.1762151,616.8677,877.0787749,1247.50499,27.75,25000,25000,103656.9263
92,1,0,0,827.5691048,809.5609081,18.00819666,16223.6006,16223.6006,0
92,2,180.829922,855.2905,949.0154255,1105.259513,24.58583471,22149.40064,25000,73610.3411
92,3,332.3924963,1132.2066,942.8624938,1247.50499,27.75,25000,25000,103656.9263
93,1,529.6311615,529.7381,1047.608131,1542.918007,34.32128532,30920.07686,20023.34974,10896.72712
93,2,502.2692828,538.5586,930.0608981,1401.162169,31.16801176,28079.28987,25000,76689.63097
93,3,400.6684286,1207.9453,874.5865614,1247.50499,27.75,25000,25000,103656.9263
94,1,0,0,719.4107645,703.7561316,15.65463289,14103.27288,25000,0
94,2,593.0693173,704.0371,1026.087452,1583.923345,35.23342445,31741.82383,25000,83431.45481
94,3,405.7896153,1050.2122,869.4653747,1247.50499,27.75,25000,25000,103656.9263
95,1,283.2010328,423.3942,787.6284319,1047.527837,23.30162821,20992.45784,11248.51922,9743.938628
95,2,581.6222411,1126.4927,1037.534528,1583.923345,35.23342445,31741.82383,25000,90173.27864
95,3,411.1291276,976.217,768.1582976,1153.625713,25.66171182,23118.6593,25000,101775.5856
96,1,113.3695695,545.3256,664.8451662,761.2805076,16.93422812,15256.06137,25000,0
96,2,650.2536705,881.2905,968.9030989,1583.923345,35.23342445,31741.82383,25000,96915.10247
96,3,534.2170302,1091.4587,837.0055247,1341.384267,29.83828818,26881.3407,25000,103656.9263
97,1,0,84.8478,548.7303571,536.7897903,11.94056681,10757.2674,6012.936146,4744.331251
97,2,585.6333103,1311.7032,1033.523459,1583.923345,35.23342445,31741.82383,25000,103656.9263
97,3,457.0399843,703.8557,818.2150057,1247.50499,27.75,25000,25000,103656.9263
98,1,0,0,537.3681124,525.674792,11.69332034,10534.52283,0,15278.85408
98,2,0,2027.0949,1177.846278,1152.215926,25.63035195,23090.40716,25000,101747.3335
98,3,296.7310123,550.0455,728.7290125,1003.145652,22.31437313,20103.03886,25000,98759.96516
99,1,0,0,495.8775936,485.0871216,10.79047197,9721.145917,25000,0
99,2,221.185403,1990.766,1151.478299,1342.794054,29.86964805,26909.59284,25000,103656.9263
99,3,92.74920276,312.7343,632.3344857,709.3056107,15.77807773,14214.48444,25000,87974.4496
100,1,0,0,431.9953572,422.5949853,9.400371892,8468.803506,8468.803506,0
100,2,244.0639485,244.0695,983.8334347,1201.177902,26.71948171,24071.60515,25000,102728.5314
100,3,57.03335754,590.9848,597.6613135,640.4482833,14.24638779,12834.5836,25000,75809.03319
101,1,0,0,563.9013972,551.6307032,12.27069401,11054.67929,11054.67929,0
