h;Pfree1;Pfree2;Pfree3;Pfree4
480;114.5457;241.6883;201.597;237.597
481;143.4199;240.8192;204.9511;236.105
482;173.0581;232.5768;203.7169;233.8165
483;172.9222;223.3209;199.3981;231.2218
484;166.7491;219.2807;193.6282;228.1969
485;148.8202;193.2652;184.3222;207.8356
486;150.0108;187.6137;183.4352;201.8521
487;149.1124;199.8232;181.9057;204.3379
488;124.8229;198.1588;180.6355;227.8461
489;91.4715;191.8572;157.5292;213.8533
490;96.0006;193.63;143.1942;205.5344
491;101.1631;194.1748;134.8553;177.488
492;68.2845;155.3616;78.0756;113.3148
493;30.5196;83.1858;1.2733;43.6519
494;0;8.565;0;0
495;0;0;0;0
496;0;0;0;10.9196
497;0;5.5144;0;7.9148
498;8.2915;29.6661;20.3551;39.1267
499;0;40.2822;43.3346;49.796
500;0;69.2434;84.3398;93.741
501;44.4494;134.6019;151.5722;156.1501
502;97.9429;180.9239;174.7751;196.6783
503;151.3829;224.9477;196.5493;229.762
504;175.7843;229.5238;202.4524;232.8084
505;159.5185;234.7005;207.3802;232.5902
506;163.7086;238.822;207.1702;230.6298
507;183.235;238.1575;201.7824;229.3658
508;181.1578;233.3977;190.3317;228.283
509;162.2132;222.672;175.9763;217.4751
510;148.6428;211.8947;169.2323;213.7743
511;142.9781;205.5068;182.3614;204.2295
512;109.0408;209.5296;190.9966;192.4792
513;101.5936;194.5434;178.5718;173.2753
514;116.5323;176.4694;167.9697;172.7304
515;137.4572;152.2549;159.1719;162.847
516;118.8378;94.4361;134.9788;112.0365
517;69.4468;28.4758;71.5168;51.6068
518;48.7012;0;11.9552;8.4688
519;12.7988;0;0;0
520;29.6141;0;1.231;4.6142
521;1.5592;0;7.232;19.1947
522;28.8829;28.8834;35.002;59.9655
523;74.6808;59.4447;77.7316;99.0249
524;72.1353;102.7173;105.8803;106.2028
525;127.7425;167.9322;155.5216;162.817
526;164.2113;198.051;177.3475;200.2816
527;201.0973;225.9373;194.1262;229.4211
528;213.7545;222.0546;199.6705;228.6936
529;208.0223;212.7353;207.2717;222.2008
530;209.0223;199.8585;209.3301;210.0241
531;195.2334;214.4068;202.9252;221.76
532;184.2289;232.4647;202.0949;230.2275
533;162.1462;217.9603;196.8911;218.2339
534;156.4267;190.3018;188.5007;193.2402
535;170.8951;163.9639;186.8055;174.9248
536;142.2346;138.3322;189.8521;164.2549
537;116.237;124.4011;146.307;146.2773
538;109.456;133.8301;132.1184;150.8955
539;100.986;121.4355;112.5548;147.0946
540;51.9613;78.1252;65.3108;107.2413
541;11.1122;31.8748;16.8974;53.952
542;0;0;0;0
543;0;0;0;0
544;0;0;0;0
545;0;0;0;0
546;0;6.5766;0;16.6122
547;0;8.9228;27.9838;51.6285
548;0;13.2847;70.0846;84.8671
549;0;61.3666;130.7483;143.7087
550;29.6495;104.1262;159.0565;190.6362
551;97.2365;149.4541;191.1673;226.3669
552;121.8765;134.8194;198.8564;215.5603
553;126.5181;105.1472;205.2147;186.3268
554;144.5978;122.9926;207.4598;194.4502
555;136.6101;163.3542;205.4312;212.5268
556;126.9736;179.4674;199.3145;215.6695
557;103.6699;176.0185;179.7331;213.2182
558;104.6041;171.385;165.1321;216.2779
559;108.6899;165.1416;161.4604;210.4281
560;111.5163;136.8465;160.5615;188.5294
561;72.307;117.6578;149.3438;177.2255
562;77.7677;119.3367;138.2597;191.2797
563;66.9645;116.1954;124.3288;192.855
564;38.8031;84.4534;72.3491;167.2566
565;11.8504;41.065;0;121.4284
566;3.9316;8.0745;0;79.3177
567;0;0;0;47.0973
568;0;0.5725;0;48.0102
569;0;1.1919;0;46.0069
570;0;22.2153;16.7829;70.8207
571;0;43.3299;51.0543;74.215
572;0;48.2386;72.9172;54.5388
573;71.1899;80.4513;142.88;116.2905
574;91.5059;91.6398;179.0056;173.7975
575;144.5362;156.6814;199.4382;229.9378
576;133.0015;192.536;201.3066;235.1171
577;132.9187;202.2131;195.5982;235.9655
578;125.9172;194.7226;187.6705;234.6867
579;111.0146;196.8184;178.8312;233.5455
