h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
136,1,51.37439485,51.4987,1073.579366,1100.474369,24.47939205,22053.50635,25000,64400.78242
136,2,0,1625.5863,1259.629791,1232.219801,27.40999014,24693.68481,25000,46038.75825
136,3,525.6751612,993.2702,1141.087665,1630.493477,36.26934911,32675.08929,25000,133281.7745
137,1,0,0,907.5964762,887.8468556,19.74962059,17792.45099,25000,57193.23341
137,2,367.7958459,1182.0444,1122.529412,1457.895253,32.43000517,29216.22087,25000,50254.97913
137,3,442.4818403,1063.2183,1224.280986,1630.493477,36.26934911,32675.08929,25000,140956.8638
138,1,0,0,777.6534844,760.7314693,16.9220151,15245.05864,25000,47438.29205
138,2,0,634.2103,928.5565294,908.3508107,20.20571877,18203.35025,25000,43458.32937
138,3,217.2095063,230.1829,893.7708157,1086.804997,24.17532507,21779.57214,25000,137736.436
139,1,0,0,800.2703621,782.8561958,17.41416636,15688.43816,25000,38126.73022
139,2,0,587.3046,894.0101065,874.5561301,19.45397638,17526.10485,25000,35984.43422
139,3,0,0,702.2967896,687.0145629,15.28222674,13767.77184,25000,126504.2078
140,1,0,0,977.3008423,956.03443,21.26641228,19158.92998,25000,32285.66019
140,2,0,486.2118,970.4766387,949.3587235,21.11791519,19025.14882,25000,30009.58304
140,3,0,29.1682,635.0402148,621.2215149,13.81869987,12449.27916,25000,113953.487
141,1,0,35.3776,836.3610945,818.1615811,18.19951347,16395.95808,25000,23681.61828
141,2,0,728.0684,1099.172192,1075.253816,23.91837598,21548.08647,25000,26557.6695
141,3,0,0,803.5495254,786.0640033,17.48552211,15752.72263,25000,104706.2096
142,1,41.45528802,41.5556,1120.381623,1136.554929,25.28198245,22776.56077,25000,21458.17905
142,2,0,1315.5876,1182.298395,1156.571164,25.72723159,23177.68612,25000,24735.35562
142,3,0,0,675.8290444,661.1227651,14.70627924,13248.90021,25000,92955.10981
143,1,413.0148138,414.2579,1252.101585,1628.882876,36.23352225,32642.81284,25000,29100.99188
143,2,0,1141.1178,1045.675819,1022.921543,22.75427596,20499.34771,25000,20234.70334
143,3,0,0,735.1352418,719.1384387,15.99680309,14411.53431,25000,82366.64412
144,1,135.8319977,136.1607,1139.174789,1247.262187,27.744599,24995.13423,25000,29096.12612
