i,j,h,s,f_mw
1,2,143,3,-16.6712778747
1,2,144,1,-12.4143521325
1,2,144,2,-10.6558001857
1,2,144,3,-11.6147664233
1,2,145,1,-13.5816388563
1,2,145,2,-11.3360856660
1,2,145,3,-11.8152286805
1,2,146,1,-13.6638146779
1,2,146,2,-12.7841035186
1,2,146,3,-12.2918872911
1,2,147,1,-14.0165222946
1,2,147,2,-12.7101066894
1,2,147,3,-12.8155666086
1,2,148,1,-14.4550860506
1,2,148,2,-15.1473366798
1,2,148,3,-13.1245750055
1,2,149,1,-13.6809893600
1,2,149,2,-11.5013556203
1,2,149,3,-13.7304810283
1,2,150,1,-12.9954450459
1,2,150,2,-10.8858533584
1,2,150,3,-12.9160514765
1,2,151,1,-13.4146981534
1,2,151,2,-13.6131989961
1,2,151,3,-13.1627871386
1,2,152,1,-10.7254283719
1,2,152,2,-12.6110598455
1,2,152,3,-11.8879115335
1,2,153,1,-12.3354089392
1,2,153,2,-14.5643389897
1,2,153,3,-11.7846398698
1,2,154,1,-11.9519762221
1,2,154,2,-16.3384087472
1,2,154,3,-12.1667414428
1,2,155,1,-11.0396568412
1,2,155,2,-14.5932437750
1,2,155,3,-12.6713333563
1,2,156,1,-11.6289388896
1,2,156,2,-12.6998714469
1,2,156,3,-11.0245682487
1,2,157,1,-10.8016702123
1,2,157,2,-12.0235994241
1,2,157,3,-11.9692424260
1,2,158,1,-12.1648775365
1,2,158,2,-10.9292715034
1,2,158,3,-10.9721477344
1,2,159,1,-12.5582270744
1,2,159,2,-11.6555759914
1,2,159,3,-10.7891028108
1,2,160,1,-13.3081194792
1,2,160,2,-11.7133870231
1,2,160,3,-11.1958939735
1,2,161,1,-12.5072711998
1,2,161,2,-10.9247136614
1,2,161,3,-11.9567352141
1,2,162,1,-13.3401305646
1,2,162,2,-12.2194759600
1,2,162,3,-11.6772298872
1,2,163,1,-12.8013750112
1,2,163,2,-12.0239240594
1,2,163,3,-11.5217760324
1,2,164,1,-14.1506924979
1,2,164,2,-11.4684092609
1,2,164,3,-11.4402080570
1,2,165,1,-12.9601081295
1,2,165,2,-11.3834049924
1,2,165,3,-12.4328579030
1,2,166,1,-14.2017131753
1,2,166,2,-11.5174227557
1,2,166,3,-12.1380737054
1,2,167,1,-13.4117056483
1,2,167,2,-11.9208406928
1,2,167,3,-12.6055046569
1,2,168,1,-13.4897490129
1,2,168,2,-12.8090877316
1,2,168,3,-11.0433782073
1,3,1,1,-39.7864884809
1,3,1,2,-35.4526659921
1,3,1,3,-40.3486279713
1,3,2,1,-39.7464721086
1,3,2,2,-40.2453423917
1,3,2,3,-39.8700561275
1,3,3,1,-37.9623120952
1,3,3,2,-39.2889369839
1,3,3,3,-39.3611269530
1,3,4,1,-36.8494000285
1,3,4,2,-36.3586299918
1,3,4,3,-39.7738440098
1,3,5,1,-40.2304909923
1,3,5,2,-37.3132278910
1,3,5,3,-40.3600778210
1,3,6,1,-40.8499477907
1,3,6,2,-35.2439279021
1,3,6,3,-40.2854467278
1,3,7,1,-40.9915806547
1,3,7,2,-38.0524914148
1,3,7,3,-38.5699882100
1,3,8,1,-39.2713305762
1,3,8,2,-37.7432225216
1,3,8,3,-39.2941947200
1,3,9,1,-37.7698861304
1,3,9,2,-35.2281134853
1,3,9,3,-40.0267690427
1,3,10,1,-39.0237735567
1,3,10,2,-38.9192243801
1,3,10,3,-41.2158873071
1,3,11,1,-38.3749380404
1,3,11,2,-37.8584217663
1,3,11,3,-35.3789467774
1,3,12,1,-36.7624303378
1,3,12,2,-30.9540441517
1,3,12,3,-39.1871420675
1,3,13,1,-36.4011634283
1,3,13,2,-37.7537007471
1,3,13,3,-39.7735298428
1,3,14,1,-39.9618813959
1,3,14,2,-38.9118797375
1,3,14,3,-39.5795439197
1,3,15,1,-40.5054021962
1,3,15,2,-39.2177635231
1,3,15,3,-40.7335631467
1,3,16,1,-40.1959225065
1,3,16,2,-39.9464071381
1,3,16,3,-40.5811410700
1,3,17,1,-39.3394065166
1,3,17,2,-40.4844343716
1,3,17,3,-39.9208044681
1,3,18,1,-38.8663478981
1,3,18,2,-33.5618870719
1,3,18,3,-39.2096245349
1,3,19,1,-33.2383548677
1,3,19,2,-39.0804144696
1,3,19,3,-37.9955708056
1,3,20,1,-39.6654099534
1,3,20,2,-39.5337311722
1,3,20,3,-37.8089740828
1,3,21,1,-38.8656844694
1,3,21,2,-40.3632604521
1,3,21,3,-38.7855846128
1,3,22,1,-40.4177503786
1,3,22,2,-37.8822281274
1,3,22,3,-37.9847876152
1,3,23,1,-38.9200690555
1,3,23,2,-40.1743746550
1,3,23,3,-38.3395360381
1,3,24,1,-40.2621974929
1,3,24,2,-39.8713589244
1,3,24,3,-38.5948051968
1,3,25,1,-36.1932097340
1,3,25,2,-40.1933161595
1,3,25,3,-38.3048073439
1,3,26,1,-40.4938138135
1,3,26,2,-40.0772119532
1,3,26,3,-38.0325798948
1,3,27,1,-40.5236177977
1,3,27,2,-40.5469875496
1,3,27,3,-37.4354100445
1,3,28,1,-38.8237727674
1,3,28,2,-35.8742215359
1,3,28,3,-38.5499781874
1,3,29,1,-38.2417334652
1,3,29,2,-38.6989215023
1,3,29,3,-39.5365797253
1,3,30,1,-36.5538302388
1,3,30,2,-40.2853929146
1,3,30,3,-38.3818989988
1,3,31,1,-37.0971331255
1,3,31,2,-40.6958197036
1,3,31,3,-38.4203732698
1,3,32,1,-39.4954578566
1,3,32,2,-39.6098018172
1,3,32,3,-38.4745958041
1,3,33,1,-39.3077274969
1,3,33,2,-40.5118259874
1,3,33,3,-39.8305020210
1,3,34,1,-39.6071244760
1,3,34,2,-39.2307315611
1,3,34,3,-35.3394785774
1,3,35,1,-39.9614500219
1,3,35,2,-41.6662998517
1,3,35,3,-40.1210095192
1,3,36,1,-39.7639744330
1,3,36,2,-43.7310016930
1,3,36,3,-38.7472111718
1,3,37,1,-41.3667169097
1,3,37,2,-39.7481298167
1,3,37,3,-39.0253256652
1,3,38,1,-38.9874807268
1,3,38,2,-40.5823244691
1,3,38,3,-38.5729319113
1,3,39,1,-39.2686628162
1,3,39,2,-39.5677052592
1,3,39,3,-38.0343888142
1,3,40,1,-38.4604669181
1,3,40,2,-38.8487157200
1,3,40,3,-38.4592005623
1,3,41,1,-37.8364320897
1,3,41,2,-38.3715461704
1,3,41,3,-38.8858476972
1,3,42,1,-36.1341163490
1,3,42,2,-39.2340466286
1,3,42,3,-38.2722824210
1,3,43,1,-37.9798526483
1,3,43,2,-39.3732170521
1,3,43,3,-37.5308838536
1,3,44,1,-38.1540274225
1,3,44,2,-39.0826389443
1,3,44,3,-38.0646483227
1,3,45,1,-38.3021130749
1,3,45,2,-38.1715052963
1,3,45,3,-37.6882707217
1,3,46,1,-39.3210587287
1,3,46,2,-39.3423111599
1,3,46,3,-38.4147936395
1,3,47,1,-40.5713487734
1,3,47,2,-40.0912299770
1,3,47,3,-38.2472535555
1,3,48,1,-41.1822035641
1,3,48,2,-40.1369276319
1,3,48,3,-39.3293910717
1,3,49,1,-39.8735187714
1,3,49,2,-41.1299668014
1,3,49,3,-37.8603987261
1,3,50,1,-39.0773280915
1,3,50,2,-40.1813089980
1,3,50,3,-40.2647927916
1,3,51,1,-39.1114236736
1,3,51,2,-40.4530871402
1,3,51,3,-40.3820977989
1,3,52,1,-39.2455712864
1,3,52,2,-40.2879152211
1,3,52,3,-39.8954824280
1,3,53,1,-38.6477027926
1,3,53,2,-39.8611589495
1,3,53,3,-39.3971183485
1,3,54,1,-40.1396078504
1,3,54,2,-38.5047977058
1,3,54,3,-38.6036699339
1,3,55,1,-39.0702823508
1,3,55,2,-40.6748544880
1,3,55,3,-38.8287646016
1,3,56,1,-38.0564989735
1,3,56,2,-39.4393932058
1,3,56,3,-39.6279998543
1,3,57,1,-37.2305477524
1,3,57,2,-38.7636209259
1,3,57,3,-39.9667729199
1,3,58,1,-36.3711930425
1,3,58,2,-39.1877992874
1,3,58,3,-39.4077732249
1,3,59,1,-37.0459955898
1,3,59,2,-40.4836489863
1,3,59,3,-36.7104875854
1,3,60,1,-38.0516424488
1,3,60,2,-39.6033821742
1,3,60,3,-40.3744754264
1,3,61,1,-38.1331163150
1,3,61,2,-40.3536323474
1,3,61,3,-38.8962027669
1,3,62,1,-40.0574596914
1,3,62,2,-40.0592620016
1,3,62,3,-39.2689966984
1,3,63,1,-39.7107383076
1,3,63,2,-35.5590140227
1,3,63,3,-39.4663545660
1,3,64,1,-38.6385378904
1,3,64,2,-37.5115910804
1,3,64,3,-39.1050459504
1,3,65,1,-39.5056488548
1,3,65,2,-38.7660757221
1,3,65,3,-39.3452856423
1,3,66,1,-39.6283612713
1,3,66,2,-39.4471575477
1,3,66,3,-39.2223597759
1,3,67,1,-39.4912508552
1,3,67,2,-38.4098502152
1,3,67,3,-39.9782182114
1,3,68,1,-40.4541280173
1,3,68,2,-38.9129079755
1,3,68,3,-35.8567630212
1,3,69,1,-40.3482393615
1,3,69,2,-39.2272811267
1,3,69,3,-39.9575296557
1,3,70,1,-40.2831486477
1,3,70,2,-40.2923174914
1,3,70,3,-39.7981913129
1,3,71,1,-40.1188312879
1,3,71,2,-40.6603115833
1,3,71,3,-38.9901408590
1,3,72,1,-39.8749644526
1,3,72,2,-39.4831589889
1,3,72,3,-38.5541580841
1,3,73,1,-40.3811499689
1,3,73,2,-38.1829879082
1,3,73,3,-38.9658390894
1,3,74,1,-39.7446946828
1,3,74,2,-38.8250565829
1,3,74,3,-37.5582570770
1,3,75,1,-39.1421269377
1,3,75,2,-37.7760417343
1,3,75,3,-37.9149957963
1,3,76,1,-39.4844325753
1,3,76,2,-40.6895491459
1,3,76,3,-38.0346643285
1,3,77,1,-39.6833147854
1,3,77,2,-40.5242479767
1,3,77,3,-38.4160611060
1,3,78,1,-40.2835336581
1,3,78,2,-40.0547692619
1,3,78,3,-37.6148990396
1,3,79,1,-40.7604597139
1,3,79,2,-38.9318279926
1,3,79,3,-37.8817250980
1,3,80,1,-41.5979706268
1,3,80,2,-37.8138176039
1,3,80,3,-39.7841547110
1,3,81,1,-39.9127282069
1,3,81,2,-36.4151339655
1,3,81,3,-39.6291490523
1,3,82,1,-37.9167802452
1,3,82,2,-37.8093046707
1,3,82,3,-36.1640836161
1,3,83,1,-37.3273239282
1,3,83,2,-35.2964673917
1,3,83,3,-35.6157299757
1,3,84,1,-37.8449948949
1,3,84,2,-35.6278821273
1,3,84,3,-41.4130125440
1,3,85,1,-39.2937833557
1,3,85,2,-37.9174679120
1,3,85,3,-40.3186361819
1,3,86,1,-40.1596845548
1,3,86,2,-38.3617966600
1,3,86,3,-39.3962046523
1,3,87,1,-40.3041800298
1,3,87,2,-38.3246885885
1,3,87,3,-40.1013894407
1,3,88,1,-40.3000204083
1,3,88,2,-40.6708677142
1,3,88,3,-37.7190670915
1,3,89,1,-39.5654265496
1,3,89,2,-38.8119483710
1,3,89,3,-37.9553976988
1,3,90,1,-39.4232276106
1,3,90,2,-37.2116038771
1,3,90,3,-38.0257914416
1,3,91,1,-39.3655773351
1,3,91,2,-39.9198692169
1,3,91,3,-38.7905171367
1,3,92,1,-37.8443990755
1,3,92,2,-36.9146202481
1,3,92,3,-39.8819649295
1,3,93,1,-38.7839782292
1,3,93,2,-39.7908404926
1,3,93,3,-39.1054714996
1,3,94,1,-39.7166781875
1,3,94,2,-40.1377241978
1,3,94,3,-40.2225039349
1,3,95,1,-40.5479437660
1,3,95,2,-35.3114674046
1,3,95,3,-38.8331786036
1,3,96,1,-39.1489427309
1,3,96,2,-40.4749658992
1,3,96,3,-39.1288666583
1,3,97,1,-40.1088224048
1,3,97,2,-41.5243980819
1,3,97,3,-39.1780648170
1,3,98,1,-39.0349287507
1,3,98,2,-35.5600620232
1,3,98,3,-39.5993338481
1,3,99,1,-39.3501667969
1,3,99,2,-35.4555921191
1,3,99,3,-39.3849703895
1,3,100,1,-39.9448760724
1,3,100,2,-37.8520636810
1,3,100,3,-39.3755768631
1,3,101,1,-39.1078942644
1,3,101,2,-38.3434956017
1,3,101,3,-39.3911841380
1,3,102,1,-35.7463389711
1,3,102,2,-39.2734142943
1,3,102,3,-36.9660608727
1,3,103,1,-36.3873725467
1,3,103,2,-37.8074537542
1,3,103,3,-36.8831421854
1,3,104,1,-36.0787680623
1,3,104,2,-39.8697894173
1,3,104,3,-36.8840298094
1,3,105,1,-39.0084879505
1,3,105,2,-39.7982496400
1,3,105,3,-36.2213388437
1,3,106,1,-39.6382629040
1,3,106,2,-38.1914364068
1,3,106,3,-36.6163777228
1,3,107,1,-39.8688768681
1,3,107,2,-38.8809435489
1,3,107,3,-36.3524358625
1,3,108,1,-38.9329397378
1,3,108,2,-39.5490067303
1,3,108,3,-42.2440383510
1,3,109,1,-39.6465400889
1,3,109,2,-38.6898344449
1,3,109,3,-38.9997485496
1,3,110,1,-40.4454071036
1,3,110,2,-38.3120481827
1,3,110,3,-35.5069786981
1,3,111,1,-40.0765783357
1,3,111,2,-38.1520878493
1,3,111,3,-42.8680747079
1,3,112,1,-40.7613068924
1,3,112,2,-35.5197115515
1,3,112,3,-38.3660437371
1,3,113,1,-40.4965433133
1,3,113,2,-37.9629944749
1,3,113,3,-38.7012491272
1,3,114,1,-32.5375925863
1,3,114,2,-37.5881420837
1,3,114,3,-37.8436786572
1,3,115,1,-38.3973990482
1,3,115,2,-39.5481682378
1,3,115,3,-38.7619994879
1,3,116,1,-39.2467338291
1,3,116,2,-40.3623188194
1,3,116,3,-37.6806899148
1,3,117,1,-39.2071421849
1,3,117,2,-38.6972232207
1,3,117,3,-37.6863348954
1,3,118,1,-38.8583351472
1,3,118,2,-35.3065364138
1,3,118,3,-37.9677446321
1,3,119,1,-39.5587482032
1,3,119,2,-40.9796049379
1,3,119,3,-38.4711495616
1,3,120,1,-40.7038862987
1,3,120,2,-40.0647704232
1,3,120,3,-38.2140988615
1,3,121,1,-40.0125535836
1,3,121,2,-40.6237477582
1,3,121,3,-35.4601275749
1,3,122,1,-39.6737513196
1,3,122,2,-37.7894247926
1,3,122,3,-39.0066098704
1,3,123,1,-38.6597210038
